Nombre,Tipo,Estacion,Eficiencia_energetica,Capacidad_frenado_suelo_mojado,Ruido_ambiental_dB,Ruido_ambiental_ondas,Ancho,Perfil,Estructura,Diametro_Interior,Índice de Carga,Índice de Velocidad
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,215,55,R,16,97,W
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,205,55,R,16,94,V
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,195,55,R,16,91,V
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,215,60,R,16,99,V
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,205,60,R,16,96,W
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,195,65,R,16,92,V
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,185,60,R,15,84,H
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,B,B,68,1,195,65,R,15,91,H
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,325,30,ZR,21,108,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,315,30,ZR,21,105,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,275,35,ZR,21,103,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,315,35,ZR,20,110,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,275,35,ZR,30,102,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,275,40,ZR,20,106,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,255,40,R,20,101,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,245,40,ZR,20,99,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,235,50,R,20,104,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,275,35,ZR,19,100,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,255,35,ZR,19,96,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,235,35,ZR,19,87,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,295,40,ZR,19,108,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,255,40,ZR,19,100,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,245,40,ZR,19,98,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,235,40,ZR,19,96,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,225,40,ZR,19,93,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,265,45,ZR,19,105,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,255,45,R,19,104,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,245,45,ZR,19,102,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,235,45,ZR,19,99,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,225,45,ZR,19,96,W
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,275,35,ZR,18,99,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,265,35,ZR,18,97,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,255,35,ZR,18,94,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,245,35,ZR,18,92,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,255,40,ZR,18,99,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,245,40,ZR,18,97,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,235,40,ZR,18,95,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,225,40,ZR,18,92,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,215,40,ZR,18,89,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,205,40,ZR,18,86,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,255,45,ZR,18,103,Y
Pilot Sport 4,"Berlina, Sport, SUV Compacto, SUV Medio",Verano,D,A,71,2,245,45,ZR,18,100,Y
