Nombre,Tipo,Estacion,Eficiencia_energetica,Capacidad_frenado_suelo_mojado,Ruido_ambiental_dB,Ruido_ambiental_ondas,Dimension,,"
"
Energy E-V,Electricos y compactos,Verano,A,A,70,2,"195/55 R16 91 Q, 185/65 R15 88 Q",,
Energy Saver+,Electricos y compactos,Verano,A-C,A-B,68-70,2,"205/55 R16 91 W, 205/55 R16 91 V, 205/55 R16 94 H, 205/60 R16 96 V, 205/60 R16 92W, 205/60 R16 92 H, 205/60 R16 95 V, 195/50 R15 82 T, 195/55 R15 85 V, 205/60 R15 91 V, 195/60 R15 88 V, 185/60 R15 88 H, 195/65 R15 91 V, 175/65 R15 84 H, 165/65 R15 81 T, 185/55 R14 80 H, 185/65 R14 86 T, 175/65 R14 82 H, 195/70 R14 91 T, 165/70 R14 81 T",,
Primacy 4,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",Verano,A-B-C,A-B,68-70,"1, 2","225/40 R18 92 Y, 235/45 R18 98 Y, 225/45 R18 95 W, 235/50 R18 99 W,  235/55 R18 100 V, 245/45 R17 99 Y, 225/45 R17 91 Y, 225/50 R17 98 V, 205/50 R17 89 V, 225/55 R17 97 Y, 205/55 R17 95V, 215/60 R17 96 H, 205/45 R16 83 W, 225/50 R16 92 W, 205/55 R16 91 H, 195/55 R16 87 H, 215/60 R16 99 V, 195/65 R16 92 V, 185/60 R15 84 H, 195/65 R15 91 H",,
CrossClimate+,"Electricos y compactos, Berlina, Sport, SUV Compacto, SUV Medio",All Season,B-C,B,68-69,2,"255/35 R19 96 Y, 245/40 R18 97 Y, 245/45 R18 100 Y, 235/50 R18 101 Y, 245/45 R17 99 Y, 225/45 R17 91 W, 225/55 R17 98 V, 235/55 R17 103 Y, 215/55 R17 95 V, 225/60 R17 103 V, 215/65 R17 103 V, 225/55 R16 99 W, 205/55 R16 91 H, 225/60 R16 102 W, 195/60 R16 93 V, 215/65 R16 102 V, 195/55 R15 89 V, 205/60 R15 95 V, 195/65 R15 95 V, 185/65 R15 92 V ",,
CrossClimate SUV,"SUV Medio, SUV Grande",All Season,B-C,B,69-71,"1, 2","275/45 R20 110Y, 245/45 R20 103 V, 285/45 R19 111 Y, 255/50 R19 107 Y, 255/55 R19 111 W, 235/50 R18 101 V, 255/55 R18 109 W, 225/55 R18 98 V, 265/60 R18 114 V, 255/60 R18 112 V, 245/60 R18 105 H, 235/60 R18 103 V, 235/65 R18 110 H, 235/55 R17 103 V, 235/60 R17 106 V, 265/65 R17 112 H, 235/65 R17 108 W, 235/60 R16 104 V, 215/65 16 102 V, 215/70 R16 100 H",,
